Unit	N0	N1	N2	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
53	France	Auvergne-Rhône-Alpes	Allier	343029.0	2.601185050136735	46.336419410531505	3.125	46.18333333333333
54	France	Auvergne-Rhône-Alpes	Ardèche	300102.0	4.588492063492055	44.77866287339971	4.316666666666663	44.52499999999999
55	France	Auvergne-Rhône-Alpes	Cantal	148880.0	2.464102564102575	44.96100771987868	2.691666666666663	44.224999999999994
56	France	Auvergne-Rhône-Alpes	Drôme	481465.0	4.908945860501859	44.912260055946746	5.283333333333331	43.99999999999999
57	France	Auvergne-Rhône-Alpes	Haute-Loire	220748.0	4.103517587939706	45.1520458345628	3.8499999999999943	44.27499999999999
58	France	Auvergne-Rhône-Alpes	Haute-Savoie	721842.0	6.525411132194819	46.063705531309914	6.39166666666668	45.87499999999999
59	France	Auvergne-Rhône-Alpes	Isère	1178818.0	5.624890924956361	45.29889572213197	5.583333333333343	44.37499999999999
60	France	Auvergne-Rhône-Alpes	Loire	739478.0	4.400769230769214	45.493629486277264	4.074999999999989	45.474999999999994
61	France	Auvergne-Rhône-Alpes	Puy-de-Dôme	623039.0	3.1002604783329275	45.77885876991536	3.14166666666668	44.508333333333326
62	France	Auvergne-Rhône-Alpes	Rhône	1677923.0	4.8639990946422245	45.75883160818085	4.64166666666668	45.64999999999999
63	France	Auvergne-Rhône-Alpes	Savoie	404539.0	5.9174109589040995	45.57811086835018	6.349999999999994	44.54166666666666
64	France	Bourgogne-Franche-Comté	Côte-d'Or	519784.0	5.045043931905553	47.315637003042845	4.758333333333326	47.408333333333324
65	France	Bourgogne-Franche-Comté	Doubs	519493.0	6.026174970150862	47.25203021617613	6.324999999999989	46.199999999999996
66	France	Bourgogne-Franche-Comté	Haute-Saône	235090.0	6.161051245210729	47.637842767295595	6.091666666666669	46.54166666666666
67	France	Bourgogne-Franche-Comté	Jura	259060.0	5.90521636675237	46.744414684102715	5.76666666666668	46.36666666666666
68	France	Bourgogne-Franche-Comté	Nièvre	222481.0	3.1366780045351277	47.0184593539226	3.558333333333337	46.724999999999994
69	France	Bourgogne-Franche-Comté	Saône-et-Loire	548067.0	4.373636943836601	46.67574965352148	4.550000000000011	45.39166666666666
70	France	Bourgogne-Franche-Comté	Territoire de Belfort	140444.0	6.8545407577497315	47.63806373198974	6.908333333333331	47.46666666666666
71	France	Bourgogne-Franche-Comté	Yonne	341364.0	3.623859126984115	47.90751928930417	3.666666666666657	47.49999999999999
72	France	Bretagne	Côtes-d'Armor	567911.0	-2.7575379162545346	48.51196563138249	-2.76666666666668	47.508333333333326
73	France	Bretagne	Finistère	852706.0	-4.52684677419353	48.38061262648481	-4.0	47.81666666666666
74	France	Bretagne	Ille-et-Vilaine	947754.0	-1.6660176824680093	48.1191425221389	-1.6750000000000114	47.908333333333324
75	France	Bretagne	Morbihan	674894.0	-3.361763312488165	47.75097580244979	-2.76666666666668	46.98333333333333
76	France	Centre-Val de Loire	Cher	310803.0	2.406012279125491	47.09254917201027	2.5333333333333314	46.73333333333333
77	France	Centre-Val de Loire	Eure-et-Loir	423910.0	1.4804120962827483	48.45266386022089	1.4333333333333371	47.51666666666666
78	France	Centre-Val de Loire	Indre	231677.0	1.701057379473525	46.804971046731275	1.5500000000000114	46.599999999999994
79	France	Centre-Val de Loire	Indre-et-Loire	581459.0	0.6929943735419215	47.37677678061585	0.6750000000000114	46.074999999999996
80	France	Centre-Val de Loire	Loir-et-Cher	326149.0	1.3279971014492844	47.59199759822525	1.5916666666666686	47.074999999999996
81	France	Centre-Val de Loire	Loiret	645642.0	1.9174871683654828	47.909541636913865	2.3000000000000114	46.52499999999999
82	France	Corse	Corse-du-Sud	115502.0	8.764596793491279	41.925958968567656	9.01666666666668	41.408333333333324
83	France	Corse	Haute-Corse	137474.0	9.301851851851865	42.574151474729504	9.191666666666663	42.29166666666666
84	France	Grand Est	Ardennes	285817.0	4.76011586452762	49.73909671260664	4.708333333333343	48.449999999999996
85	France	Grand Est	Aube	300901.0	4.072274780533547	48.29878621595094	4.191666666666663	47.54999999999999
86	France	Grand Est	Bas-Rhin	1077085.0	7.73099863667349	48.59402399604929	7.599999999999994	48.27499999999999
87	France	Grand Est	Haut-Rhin	735768.0	7.316515026192462	47.789857005376675	7.224999999999994	47.24166666666666
88	France	Grand Est	Haute-Marne	187170.0	5.091666666666669	48.13719573526453	5.158333333333331	48.04166666666666
89	France	Grand Est	Marne	565705.0	4.077862595419845	49.16625520833333	4.291666666666657	48.66666666666666
90	France	Grand Est	Meurthe-et-Moselle	724963.0	6.174081210304735	48.69438926993187	6.208333333333343	48.29999999999999
91	France	Grand Est	Meuse	193198.0	5.537239007614858	48.89890600580486	5.425000000000011	48.974999999999994
92	France	Grand Est	Moselle	1048297.0	6.72493866105853	49.144069861189	6.775000000000006	47.533333333333324
93	France	Grand Est	Vosges	380216.0	6.440778186274514	48.19489546887823	6.408333333333331	47.91666666666666
94	France	Hauts-de-France	Aisne	539776.0	3.227845804988675	49.613399287853035	3.583333333333343	49.258333333333326
95	France	Hauts-de-France	Nord	2565236.0	3.0585108873800095	50.616422232614134	3.3249999999999886	50.074999999999996
96	France	Hauts-de-France	Oise	795990.0	2.4214062499999898	49.35234462045244	2.4000000000000057	48.10833333333333
97	France	Hauts-de-France	Pas-de-Calais	1453213.0	2.668653010552447	50.4875651922834	2.3000000000000114	50.23333333333333
98	France	Hauts-de-France	Somme	567614.0	2.3121851851851716	49.91540337472142	2.3666666666666742	48.80833333333333
99	France	Île-de-France	Essonne	1205221.0	2.3517136489579684	48.65948570344129	2.2166666666666686	48.29999999999999
100	France	Île-de-France	Hauts-de-Seine	1453239.0	2.199073405535472	48.8625356125356	2.191666666666663	48.77499999999999
101	France	Île-de-France	Paris	2179720.0	2.3648841481989393	48.863172291453324	2.316666666666663	48.71666666666666
102	France	Île-de-France	Seine-et-Marne	1311626.0	2.6576301427371902	48.78547604746823	3.0250000000000057	47.849999999999994
103	France	Île-de-France	Seine-Saint-Denis	1483737.0	2.416981132075449	48.91159835130716	2.4499999999999886	48.83333333333333
104	France	Île-de-France	Val-d'Oise	1154994.0	2.3240846171020166	49.00307152635181	2.0916666666666686	48.658333333333324
105	France	Île-de-France	Val-de-Marne	1403269.0	2.4257562500000063	48.8017933671649	2.4499999999999886	48.68333333333333
106	France	Île-de-France	Yvelines	1370261.0	2.101026867691104	48.8811710398445	1.85833333333332	48.60833333333333
107	France	Normandie	Calvados	670528.0	-0.3527405124486336	49.18153696421933	-0.25	48.824999999999996
108	France	Normandie	Eure	572002.0	0.9918803418803464	49.138037059661976	1.0250000000000057	48.62499999999999
109	France	Normandie	Manche	488834.0	-1.0942416147224492	49.12465156092648	-1.25	48.48333333333333
110	France	Normandie	Orne	290846.0	-0.006249999999994316	48.63967203039445	0.03333333333333144	47.99999999999999
111	France	Normandie	Seine-Maritime	1235509.0	0.15930111555110216	49.50141570762853	0.9250000000000114	48.14166666666666
112	France	Nouvelle-Aquitaine	Charente	349394.0	0.16617199391171766	45.67359251809206	0.11666666666667425	45.05833333333333
